file,orig_bytes,webp_bytes,ratio
ozegahara2.jpg,209935,201196,0.958,skipped_no_gain
ozenuma.jpeg,397438,211562,0.532,kept
pacote-primavera.png,2437350,281772,0.116,kept
parkhyatt2.png,975625,84712,0.087,kept
passagem-emirates-template.png,1179993,89204,0.076,kept
passagem-terminal-terrestre.png,262392,44258,0.169,kept
passaporte-brasileiro.jpg,175245,93738,0.535,kept
peninsula3.jpg,432940,348706,0.805,kept
peninsula5.jpg,326504,281016,0.861,kept
personalizado-hero.png,2875196,283478,0.099,kept
placeholder-em-producao.png,52179,30752,0.589,kept
pokemontcglogo.png,37156,14110,0.38,kept
pontocho-suishin-honten.png,523654,42318,0.081,kept
primavera-1-roteiro-pacote.png,2321734,291508,0.126,kept
primavera1-sakura-pacote.png,2660756,359464,0.135,kept
private-car.png,468497,27016,0.058,kept
proto.jpg,35191,32906,0.935,skipped_no_gain
qr-code.png,45972,17246,0.375,kept
rage.png,1110815,183152,0.165,skipped_exists
raiox-akihabara.png,3412356,467794,0.137,kept
raiox-fushimiinari.png,3640958,522702,0.144,kept
raiox-kanda.png,3317127,426138,0.128,kept
raiox-kinkakuji.png,2886173,358302,0.124,kept
raiox-kiyomizu-higashiyama.png,3331840,486080,0.146,kept
raiox-meiji-jingu.png,3194492,451152,0.141,kept
raiox-ningyocho.png,3968409,543912,0.137,kept
raiox-roppongi.png,3760889,551876,0.147,kept
raiox-ryogoku.png,3536923,541576,0.153,kept
raiox-shinjuku-gyoen.png,3089115,424984,0.138,kept
raiox-shinjuku.png,2905609,353572,0.122,kept
raiox-skytree-bg.jpg,2825174,269332,0.095,kept
raiox-skytree2.png,2750533,324428,0.118,kept
raiox-tokyostation.png,3696001,495792,0.134,kept
ramen-ichikakuya.jpg,132289,77346,0.585,kept
remm-fachada-real.png,412455,42486,0.103,kept
remm-rota-7eleven.png,389578,87994,0.226,kept
remm-rota-estacao-kyobashi.png,538912,103028,0.191,kept
remm-rota-kameda-clinic.png,1181004,209128,0.177,kept
remm-rota-st-luke-hospital.png,977491,190288,0.195,kept
remm-rota-welcia.png,980624,181066,0.185,kept
remm-tokyo-kyobashi-fotohero.jpg,8243759,467604,0.057,kept
rengetsu-jaya.png,563121,58222,0.103,kept
restaurant-cards.png,1469434,87424,0.059,kept
ritzlogo.png,27998,23256,0.831,kept
ritzosaka.png,401507,30106,0.075,kept
rolex.png,333371,40130,0.12,kept
roppongi-miniatura.png,15973,2316,0.145,kept
roppongi-station-map.png,254446,49690,0.195,kept
roppongi-station.png,185661,22452,0.121,kept
rota-asakusa-sensoji.png,1237285,222644,0.18,kept
roteiro-compras.png,267379,63456,0.237,kept
roteiro-primavera1-sakura.png,2660756,359464,0.135,kept
roteiro-primavera2.png,2321734,291508,0.126,kept
roteiro-restaurantes.png,543354,112468,0.207,kept
ryogoku-station-entrance.png,5830259,359954,0.062,kept
saboten.jpg,103053,64576,0.627,kept
saitou.png,257884,18396,0.071,kept
sakura.jpg,1364240,1014264,0.743,kept
samurai.png,633916,73972,0.117,kept
santuario-nomi-no-sukune.png,524054,68508,0.131,kept
saotome.png,1732665,53612,0.031,kept
sapporo.jpg,58823,68388,1.163,skipped_no_gain
sazenka.png,928005,85640,0.092,kept
sazenka2.png,631478,77234,0.122,kept
sealedbox.png,499297,103134,0.207,skipped_exists
sensoji-hozomon.png,3306628,355868,0.108,kept
sensoji-kaminarimon.png,2876514,219990,0.076,kept
sensoji-kannondo.png,3125325,293248,0.094,kept
sensoji-nakamise.png,3195686,308424,0.097,kept
sensoji-pagode.png,2952689,256894,0.087,kept
serenity.png,211421,26924,0.127,kept
services-snow.jpg,1979864,1220744,0.617,kept
shibuya-crossing.png,2292503,301246,0.131,kept
shibuya-station-entrance.png,560579,45176,0.081,kept
shibuya-station-map.png,324595,58998,0.182,kept
shimano-stella.png,1621447,161300,0.099,kept
shinjuku-gyoen.png,829288,118968,0.143,kept
shinjuku-station-entrance.png,570273,60054,0.105,kept
shinjuku-station-map-1f.png,207353,40226,0.194,kept
shinjuku-station-map-b1f.png,317797,73840,0.232,kept
shinjuku-station-map-gates.png,212429,51614,0.243,kept
shinkansen.png,2679190,251364,0.094,kept
shira.png,3312149,438284,0.132,kept
shirakawago.jpg,328209,349272,1.064,skipped_no_gain
shirakawago_1.jpg,328209,349272,1.064,skipped_no_gain
shirakawago_2.jpg,274933,297158,1.081,skipped_no_gain
skytree-cafe.jpg,945373,81654,0.086,kept
skytree-por-do-sol-fuji.jpg,2974862,283036,0.095,kept
skytree-sky-restaurant-musashi.jpg,523292,47034,0.09,kept
skytree-tembo-deck-aerea.jpg,3572507,448598,0.126,kept
skytree-tembo-deck-janela.jpg,463661,51980,0.112,kept
skytree-tembo-deck-mapa.png,770793,82396,0.107,kept
skytree-tembo-deck-miniatura.png,20960,1996,0.095,kept
skytree-tembo-deck-vista-noturna.jpg,869008,66724,0.077,kept
skytree-tembo-galleria-mapa.png,500415,35664,0.071,kept
skytree.jpg,1786094,531022,0.297,kept
skytree3.jpg,94513,61940,0.655,kept
soba-tempura-ishiraku.png,523473,64294,0.123,kept
solamachi-dining-map.png,136251,48722,0.358,kept
solamachi-donguri-republic.jpg,835807,111922,0.134,kept
solamachi-floor1.png,1689249,188300,0.111,kept
solamachi-jump-shop.jpg,369129,39710,0.108,kept
solamachi-mapa-andares.png,1754287,102858,0.059,kept
solamachi-pokemon-center.jpg,1234278,113102,0.092,kept
solamachi-strict-g.jpg,3217774,190848,0.059,kept
ss-ig.png,2283326,197706,0.087,kept
ss-rcompras.png,306184,61684,0.201,kept
ss-restaurantes.png,616583,113190,0.184,kept
ss-roteiro.png,1221381,145392,0.119,kept
star-alliance.png,33280,13692,0.411,kept
sugita.png,279344,19702,0.071,kept
sugoi-niboshi-ramen-nagi.png,309244,32318,0.105,kept
suica-iccard-transparent.png,124762,13796,0.111,kept
suica-iccard.jpg,33840,12968,0.383,kept
suica-vector.png,52280,6490,0.124,kept
suica_square_logo.png,100926,10284,0.102,kept
sumida-park.png,486145,48200,0.099,kept
sumiyaki-unafuji.png,509298,52156,0.102,kept
sushi-arai.png,571829,23696,0.041,kept
sushi-iwa.jpg,75908,37658,0.496,kept
sushi-onodera-musuko-shibuya.png,373506,27012,0.072,kept
sushi-sho.png,250120,7936,0.032,kept
sushi-uogashi.jpg,98326,57842,0.588,kept
takaracho-station-logo.png,353839,77088,0.218,kept
takayama.jpg,61830,81364,1.316,skipped_no_gain
tamahide-ningyocho.png,178575,17658,0.099,kept
tanakamotorista.png,1910512,66302,0.035,kept
taqbinlogo.png,106539,23240,0.218,kept
tatsu-sushi.jpg,53915,15428,0.286,kept
template-emirates.png,1179993,89204,0.076,kept
test-dd.png,-1,-1,ERROR,cannot identify image file '/sessions/rcw-0186khjvzszodjtnuiaqxtdm/mnt/alpinea-website/public/images/test-dd.png'
the-peninsula-tokyo.png,2093799,46438,0.022,kept
thepeninsula.png,416227,38444,0.092,kept
thermae-yu.png,4470251,410304,0.092,kept
toei-mark.png,25443,14150,0.556,kept
tokyo-marathon.png,89629,49554,0.553,kept
tokyo-metropolitan-government-building.png,3389580,374408,0.11,kept
tokyo-tonkotsu.jpg,69404,32218,0.464,kept
tokyo.jpg,793917,399808,0.504,kept
tokyometro-mark.png,84691,34212,0.404,kept
tokyometrologo.png,219653,72432,0.33,kept
toobanzai-mamehachi-pontocho.png,474641,48948,0.103,kept
torecamall.jpeg,373376,132126,0.354,kept
toritada-espetinhos.png,425540,45984,0.108,kept
toritada-tamago.png,343128,25548,0.074,kept
toritada.png,634757,64894,0.102,kept
toyota-alphard.jpg,1656656,131476,0.079,kept
toyota-asphard.png,1656656,131476,0.079,kept
toyota-hiace.jpg,1900281,155766,0.082,kept
toyota-hiace.png,1900281,155766,0.082,skipped_exists
trem-hero-tipos.png,2276816,213836,0.094,kept
unagi-naruse-kinkakuji.png,542876,63934,0.118,kept
unasho-kinkakuji.png,454044,49936,0.11,kept
uokin.png,363222,37164,0.102,kept
usj-dk-mug.png,3335412,126862,0.038,kept
