file,orig_bytes,webp_bytes,ratio
dia7-izakaya-kanda.png,302412,25718,0.085,kept
disembarkation-card.png,387291,34732,0.09,kept
disney.jpg,303324,166598,0.549,kept
draft-1-sensoji.png,1405107,119662,0.085,kept
draft-1-skytree.png,513330,61698,0.12,kept
draft-2-tokyostation.png,2157700,214650,0.099,kept
draft-3-meijijingu.png,1255104,155526,0.124,kept
draft-3-shibuyasky.png,2499254,244034,0.098,kept
draft-4-r3club.png,2623539,280728,0.107,kept
draft-4-teamlab.png,782721,102480,0.131,kept
draft-5-Kiyomizu-deratemple.jpg,817597,357540,0.437,kept
draft-5-dotombori.png,1166932,157764,0.135,kept
draft-5-fushimi-inari.png,2404994,266858,0.111,kept
draft-5-gion-v2.png,3326124,462690,0.139,kept
draft-5-gion.png,983246,104144,0.106,kept
draft-5-usj-v2.jpg,198982,134536,0.676,kept
draft-5-usj.png,918564,98750,0.108,kept
draft-6-kinkakuji.png,2799387,349388,0.125,kept
draft-6-osaka-castle.png,2971348,381438,0.128,kept
draft-7-akihabara.png,3032504,430370,0.142,kept
draft-7-kanda-izakaya.png,302412,25718,0.085,kept
draft-7-kanda-v2.png,2554987,284658,0.111,kept
draft-ginza.png,2273938,217600,0.096,kept
draft-onsen.png,3680458,213950,0.058,kept
draft-shinjuku.png,3775630,309780,0.082,kept
draft-sumo.png,3275905,336980,0.103,kept
draft-teamlab-new.png,3758211,738930,0.197,kept
draft-toyosu.png,4247750,316550,0.075,kept
draft-yokocho.png,4070552,284604,0.07,kept
dragonball-1-star-tight.png,1102728,108858,0.099,kept
dragonball-1-star.png,1150155,110278,0.096,kept
dragonball-2-star-tight.png,1103472,105264,0.095,kept
dragonball-2-star.png,1146497,107414,0.094,kept
dragonball-3-star-tight.png,1241368,130580,0.105,kept
dragonball-3-star.png,1281261,131814,0.103,kept
dragonball-4-star-tight.png,1398752,143154,0.102,kept
dragonball-4-star.png,1438105,145458,0.101,kept
dragonball-5-star-tight.png,1438999,165616,0.115,kept
dragonball-5-star.png,1480526,166776,0.113,kept
dragonball-6-star-tight.png,1479636,176582,0.119,kept
dragonball-6-star.png,1518808,176984,0.117,kept
dragonball-7-star-tight.png,1495117,175822,0.118,kept
dragonball-7-star.png,1532062,180134,0.118,kept
edo-noren-ryogoku.png,2284326,172744,0.076,kept
edo-tokyo-museum.png,713357,52860,0.074,kept
emirates logo.png,17650,6682,0.379,kept
emirates-logo-v2.png,12750,1838,0.144,kept
emirates-logo.png,17650,6682,0.379,kept
estadai-de-sumo-mapa.png,2452355,284960,0.116,kept
etxebarri.png,2734941,293946,0.107,kept
exclusividade.png,334386,25324,0.076,kept
exclusividade2.png,2270532,202354,0.089,kept
fanfunstreet.jpg,105553,75250,0.713,kept
fine-dining-stack.png,2103915,142730,0.068,kept
fpjourne.png,2820086,289430,0.103,kept
freshness.jpg,71371,41998,0.588,kept
fuji.JPG,169393,93856,0.554,kept
fukamachi2.png,377975,33524,0.089,kept
fukuoka.jpg,1790340,1400732,0.782,kept
fushimi-inari-taisha-visaogeral.png,191947,44106,0.23,kept
fushimi-mitsurugisha.jpg,612408,91598,0.15,kept
fushimi-shinike-kumatakasha.jpg,272368,47736,0.175,kept
fushimi-yotsutsuji.jpg,2660772,285186,0.107,kept
gansozushi.jpg,70980,33658,0.474,kept
gastro-hero.png,264190,8276,0.031,kept
gato-3d-shinjuku.png,324536,39538,0.122,kept
ginzanonsen.jpg,436932,349548,0.8,kept
gion-pontocho.jpg,20776869,1954522,0.094,kept
gion-rio-kamo.jpg,1719817,141438,0.082,kept
gion-yasaka-shrine.jpg,2568754,231722,0.09,kept
gionmatsuri.png,304867,28504,0.093,kept
gionmatsuri2.png,224753,32344,0.144,kept
godzilla-head-shinjuku.png,515678,55302,0.107,kept
gojozaka-bus-stop.png,496696,66100,0.133,kept
goku-4.png,1939139,223096,0.115,kept
goku-bw.png,1939139,223096,0.115,kept
goku-flying.png,1888372,232658,0.123,kept
goku.png,69569,18572,0.267,kept
golden-gai.png,2314394,247038,0.107,kept
golf.png,2547260,176220,0.069,kept
graded.jpg,137020,64898,0.474,kept
grandhyatt.png,715054,59132,0.083,kept
grandhyattlogo.png,2091866,44288,0.021,kept
